Data taken from https://www.sustainablejersey.com/fileadmin/media/resources/Data_Center/Community_Profile_Data_by_Municipality_3.12.25.xlsx ,,,,,Population Characteristics,,,,,,,,,,,,,C&I Properties,General Housing Characteristics,,,,,,Units by Year Structure Built*,,,,,,,,,,Units by Structure Type,,,,,,,,,Occupied Housing Units Primary Heating Fuels,,,,,,,,,Vehicles Available by Occupied Household,,,,Means of Transportation to Work,,,,,,,
Municipality,County,ACS Year,Square Miles,Residential Density (Housing Units / Sq Mile),Population,% White,% Black or African American,% Hispanic or Latino Origin*,% American Indian and Alaska Native,% Asian alone,% Native Hawaiian and Other Pacific Islander alone,% Some other race alone,% Two or more races,Median Household Income,Percent of Population in Poverty,NJ DCA MRI Score*,NJ DCA MRI Rank*,Commercial & Industrial Properties,Total Housing Units*,Total Occupied Housing Units,% Occupied housing units,% Owner-occupied,% Renter-occupied,<75% Occupied*,2020 or later,2010 to 2019 *,2000 to 2009,1990 to 1999,1980 to 1989,1970 to 1979,1960 to 1969,1950 to 1959,1940 to 1949,1939 or earlier,"1-unit, detached","1-unit, attached",2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more,Mobile home,"Boat, RV, van, etc.",Utility gas,Electricity,"Bottled, tank, or LP gas","Fuel oil, kerosene, etc.",Coal or coke,Wood,Solar Energy,Other fuel,No fuel used,No vehicles available,1 vehicle available,2 vehicles available,3 or more vehicles available,Total Workers 16 Years and Over,"Car, truck, or van -- drove alone","Car, truck, or van -- carpooled",Public transportation (excluding taxicab),Walked,Other means,Worked from home,Mean travel time to work (minutes)
Andover Boro,Sussex,2023,1.3,230,716,80.60%,0.00%,3.60%,0.00%,0.00%,0.00%,0.00%,15.80%,"$78,750",4.90%,34.3,169,58,299,274,92%,60%,40%,,0,0,0,20,0,39,72,39,7,122,209,0,35,37,18,0,0,0,0,4.70%,9.90%,15.30%,61.70%,0.00%,7.70%,0.00%,0.70%,0.00%,3,104,59,108,423,72.80%,12.30%,3.30%,0.50%,0.00%,11.10%,38.7
Andover Twp,Sussex,2023,20,114,"5,871",88.90%,1.00%,4.50%,0.00%,2.30%,0.00%,0.30%,3.00%,"$123,333",8.00%,28.5,280,144,"2,288","2,188",96%,92%,8%,,0,15,196,336,324,361,269,507,108,172,"1,987",126,13,15,108,10,29,0,0,14.60%,18.40%,11.00%,50.60%,0.00%,2.70%,0.00%,2.70%,0.00%,71,450,967,700,"3,036",75.20%,5.80%,0.70%,0.60%,0.50%,17.20%,35.8
Asbury Park City,Monmouth,2023,1.4,"6,322","15,239",41.00%,27.90%,24.70%,0.20%,1.90%,0.00%,0.30%,4.00%,"$71,080",18.80%,51.4,37,347,"8,851","7,668",87%,29%,71%,,7,700,521,262,"1,033",732,"1,047",859,321,"3,369","2,194",550,830,916,766,899,"2,636",60,0,56.80%,34.40%,2.00%,1.80%,0.00%,0.00%,0.00%,1.80%,3.10%,"1,347","3,525","2,260",536,"9,160",60.60%,8.30%,5.10%,6.40%,4.80%,14.90%,25.7
Atlantic City,Atlantic,2023,10.8,"1,859","38,486",15.70%,31.30%,32.40%,0.20%,16.20%,0.00%,0.40%,3.90%,"$36,220",33.90%,80.9,5,"1,514","20,075","16,527",82%,30%,70%,,49,562,892,"1,582","3,200","1,823","2,497","1,829","1,291","6,350","3,298","3,465","1,649","1,431","2,099","1,486","6,562",79,6,62.00%,32.00%,1.60%,1.40%,0.00%,0.40%,0.10%,0.50%,2.10%,"6,877","6,174","2,829",647,"14,737",44.80%,8.30%,20.70%,16.00%,4.30%,5.90%,23.7
Atlantic Highlands Boro,Monmouth,2023,1.3,"1,603","4,409",88.30%,0.70%,5.90%,0.00%,1.20%,0.00%,0.70%,3.30%,"$125,438",4.30%,23.6,393,96,"2,084","2,023",97%,71%,29%,,0,133,188,112,123,151,349,315,110,603,"1,354",50,70,107,63,75,365,0,0,77.40%,11.40%,0.90%,5.60%,0.00%,0.00%,0.60%,2.00%,2.10%,92,813,808,310,"2,234",54.40%,2.20%,14.50%,0.00%,2.30%,26.50%,38.8
Audubon Boro,Camden,2023,1.5,"2,301","8,699",90.40%,2.00%,3.70%,0.00%,0.40%,0.00%,0.30%,3.20%,"$116,900",2.20%,27.4,307,155,"3,451","3,312",96%,76%,24%,,0,25,19,36,95,141,183,598,313,"2,041","2,451",165,468,59,6,51,251,0,0,78.00%,12.60%,0.40%,8.40%,0.00%,0.00%,0.10%,0.30%,0.20%,191,775,"1,740",606,"4,746",70.50%,2.50%,5.70%,2.80%,0.50%,17.90%,26.1
Audubon Park Boro,Camden,2023,0.2,"2,725",979,93.60%,1.10%,1.00%,0.00%,0.00%,0.00%,0.00%,4.30%,"$53,333",13.10%,45.2,56,0,545,538,99%,11%,89%,,0,0,0,0,0,0,9,40,461,35,3,512,21,9,0,0,0,0,0,87.90%,10.00%,0.40%,1.70%,0.00%,0.00%,0.00%,0.00%,0.00%,81,268,123,66,504,88.90%,4.80%,0.00%,3.40%,1.40%,1.60%,21.2
Avalon Boro,Cape May,2023,4.3,"1,262","1,478",93.40%,0.10%,2.90%,0.00%,1.60%,0.00%,0.00%,1.90%,"$143,482",3.70%,17,526,152,"5,427",775,14%,95%,5%,Yes,88,714,"1,034",498,"1,156",846,533,181,124,253,"3,682","1,198",81,76,137,46,207,0,0,77.50%,20.80%,0.00%,0.00%,0.00%,0.00%,0.80%,0.00%,0.90%,9,357,286,123,561,55.40%,3.00%,0.70%,3.70%,7.00%,30.10%,28.7
Avon-by-the-sea Boro,Monmouth,2023,0.4,"3,135","1,801",92.80%,0.10%,4.40%,0.00%,0.80%,0.00%,0.00%,1.90%,"$109,113",6.40%,24.9,365,52,"1,254",878,70%,66%,34%,Yes,18,48,84,53,41,153,119,93,91,554,860,71,74,36,19,49,145,0,0,84.50%,14.00%,0.70%,0.30%,0.00%,0.00%,0.00%,0.00%,0.50%,38,383,306,151,957,65.70%,1.80%,1.80%,3.80%,6.70%,20.30%,29.2
Barnegat Light Boro,Ocean,2023,0.8,"1,591",473,79.70%,0.00%,1.90%,0.00%,16.50%,0.00%,1.50%,0.40%,"$104,583",3.70%,18,515,43,"1,273",205,16%,92%,8%,Yes,16,62,188,119,217,142,242,193,28,66,"1,186",7,35,6,18,7,14,0,0,86.30%,10.20%,0.00%,3.40%,0.00%,0.00%,0.00%,0.00%,0.00%,6,47,95,57,111,46.80%,20.70%,9.00%,6.30%,0.00%,17.10%,46.6
Barnegat Twp,Ocean,2023,34.2,321,"24,731",85.20%,2.70%,6.70%,0.00%,1.20%,0.20%,0.20%,3.90%,"$89,301",7.70%,33.8,179,228,"10,985","9,987",91%,89%,11%,,376,"1,422","3,143","1,428","1,195","2,623",262,132,60,344,"9,352",463,100,104,186,95,188,497,0,81.10%,8.10%,1.40%,8.40%,0.00%,0.00%,0.90%,0.20%,0.00%,300,"3,145","4,347","2,195","10,284",80.50%,7.40%,0.30%,0.70%,1.10%,10.10%,27.8
Barrington Boro,Camden,2023,1.6,"2,184","7,047",84.40%,3.10%,3.90%,0.00%,3.60%,0.00%,0.20%,4.80%,"$84,334",6.10%,30.4,235,93,"3,495","3,459",99%,52%,48%,,0,14,103,320,225,219,830,"1,143",242,399,"1,947",0,280,220,162,74,812,0,0,63.00%,26.20%,1.00%,7.50%,0.00%,0.00%,0.00%,0.80%,1.60%,415,"1,264","1,394",386,"4,104",75.60%,4.90%,1.80%,3.50%,0.00%,14.20%,27.7
Bass River Twp,Burlington,2023,75.1,5,844,87.60%,1.00%,5.90%,0.00%,0.20%,0.00%,3.40%,1.90%,"$80,000",8.20%,44.3,66,40,401,342,85%,89%,11%,,0,17,31,28,71,114,17,41,2,80,353,3,0,0,0,0,0,45,0,28.90%,15.80%,11.10%,26.00%,2.30%,7.30%,0.00%,0.00%,8.50%,4,70,138,130,362,77.10%,5.20%,0.00%,0.00%,12.70%,5.00%,47.6
Bay Head Boro,Ocean,2023,0.6,"1,748","1,201",93.80%,0.00%,1.40%,0.00%,2.00%,0.00%,0.00%,2.80%,"$145,417",4.60%,19.7,481,36,"1,049",538,51%,88%,12%,Yes,25,120,97,42,52,100,67,130,24,392,946,11,26,0,40,26,0,0,0,83.60%,15.80%,0.00%,0.60%,0.00%,0.00%,0.00%,0.00%,0.00%,30,166,210,132,575,63.00%,6.30%,3.70%,6.10%,6.30%,14.80%,27.5
Bayonne City,Hudson,2023,5.8,"5,200","70,468",43.60%,10.60%,31.30%,0.20%,10.20%,0.00%,0.50%,3.50%,"$81,285",14.40%,43.7,70,"1,202","30,161","28,325",94%,37%,63%,,349,"1,670","1,543",857,"1,724","3,366","3,596","3,740","2,475","10,841","4,330","1,868","10,176","3,724","2,910","2,236","4,854",63,0,76.60%,15.60%,1.90%,3.40%,0.10%,0.00%,0.00%,0.50%,1.90%,"6,622","12,924","6,163","2,616","33,853",49.50%,7.50%,20.90%,6.30%,2.40%,13.30%,34.1
Beach Haven Boro,Ocean,2023,1,"2,671","1,096",88.50%,0.10%,10.50%,0.00%,0.10%,0.00%,0.00%,0.80%,"$114,868",5.90%,31,219,112,"2,671",510,19%,88%,12%,Yes,0,145,387,166,596,264,508,220,101,284,"1,894",145,164,156,22,183,105,2,0,81.60%,16.50%,1.00%,0.40%,0.00%,0.00%,0.00%,0.00%,0.60%,16,210,210,74,505,49.50%,2.40%,3.20%,11.10%,2.80%,31.10%,39.3
