Data taken from https://www.sustainablejersey.com/fileadmin/media/resources/Data_Center/Community_Profile_Data_by_Municipality_3.12.25.xlsx ,,,,,Population Characteristics,,,,,,,,,,,,,C&I Properties,General Housing Characteristics,,,,,,Units by Year Structure Built*,,,,,,,,,,Units by Structure Type,,,,,,,,,Occupied Housing Units Primary Heating Fuels,,,,,,,,,Vehicles Available by Occupied Household,,,,Means of Transportation to Work,,,,,,,
Municipality,County,ACS Year,Square Miles,Residential Density (Housing Units / Sq Mile),Population,% White,% Black or African American,% Hispanic or Latino Origin*,% American Indian and Alaska Native,% Asian alone,% Native Hawaiian and Other Pacific Islander alone,% Some other race alone,% Two or more races,Median Household Income,Percent of Population in Poverty,NJ DCA MRI Score*,NJ DCA MRI Rank*,Commercial & Industrial Properties,Total Housing Units*,Total Occupied Housing Units,% Occupied housing units,% Owner-occupied,% Renter-occupied,<75% Occupied*,2020 or later,2010 to 2019 *,2000 to 2009,1990 to 1999,1980 to 1989,1970 to 1979,1960 to 1969,1950 to 1959,1940 to 1949,1939 or earlier,"1-unit, detached","1-unit, attached",2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more,Mobile home,"Boat, RV, van, etc.",Utility gas,Electricity,"Bottled, tank, or LP gas","Fuel oil, kerosene, etc.",Coal or coke,Wood,Solar Energy,Other fuel,No fuel used,No vehicles available,1 vehicle available,2 vehicles available,3 or more vehicles available,Total Workers 16 Years and Over,"Car, truck, or van -- drove alone","Car, truck, or van -- carpooled",Public transportation (excluding taxicab),Walked,Other means,Worked from home,Mean travel time to work (minutes)
Estell Manor City,Atlantic,2023,53.4,13,"1,612",90.90%,2.40%,1.40%,0.10%,2.20%,0.00%,1.40%,1.60%,"$107,417",2.60%,35.3,154,12,691,591,86%,96%,4%,,3,13,108,126,178,133,37,16,25,52,586,0,0,0,0,16,0,89,0,8.10%,15.40%,20.30%,22.30%,0.00%,27.20%,0.00%,5.40%,1.20%,6,77,336,172,706,89.70%,2.10%,0.00%,0.00%,1.10%,7.10%,32.3
Evesham Twp,Burlington,2023,29.2,688,"47,612",78.50%,4.80%,6.00%,0.00%,7.70%,0.00%,0.30%,2.70%,"$116,745",3.60%,22.8,407,548,"20,090","19,281",96%,72%,28%,,204,943,"2,175","4,083","5,738","3,712","1,671","1,024",120,420,"10,858","3,784",86,908,"1,339","1,338","1,777",0,0,77.40%,18.70%,1.10%,2.60%,0.00%,0.00%,0.10%,0.00%,0.10%,683,"6,760","8,077","3,761","25,602",73.50%,4.20%,1.80%,0.50%,1.20%,18.80%,27.6
Ewing Twp,Mercer,2023,15.2,974,"35,708",48.60%,28.40%,13.90%,0.00%,5.20%,0.00%,0.70%,3.10%,"$87,125",11.60%,36,143,632,"14,804","13,795",93%,67%,33%,,62,"1,191","1,131",470,"1,174","1,654","2,512","3,419","1,300","1,891","8,854","1,062",671,484,412,"1,577","1,712",32,0,74.20%,15.00%,2.30%,7.40%,0.10%,0.10%,0.10%,0.60%,0.30%,809,"5,846","4,407","2,733","16,877",72.80%,7.10%,3.50%,3.70%,1.30%,11.60%,25.2
Fair Haven Boro,Monmouth,2023,1.6,"1,301","6,182",93.00%,2.80%,2.10%,0.00%,0.40%,0.00%,0.00%,1.60%,"$237,132",1.20%,12.6,555,64,"2,082","2,072",100%,92%,8%,,36,206,104,134,52,80,179,676,196,419,"2,036",9,0,0,37,0,0,0,0,84.50%,10.00%,0.00%,5.10%,0.00%,0.00%,0.00%,0.00%,0.40%,56,472,"1,049",495,"3,013",53.50%,3.90%,16.00%,0.90%,2.30%,23.40%,39.5
Fair Lawn Boro,Bergen,2023,5.1,"2,430","35,153",66.30%,4.20%,13.20%,0.10%,13.40%,0.10%,0.70%,2.20%,"$147,952",6.10%,24.8,368,472,"12,392","12,150",98%,79%,21%,,99,370,308,273,516,523,"1,270","4,272","2,612","2,149","9,344",567,725,418,605,246,471,16,0,81.90%,7.20%,4.20%,4.80%,0.00%,0.00%,0.30%,0.60%,0.90%,724,"3,857","5,430","2,139","17,228",62.60%,5.00%,11.40%,0.60%,1.40%,18.90%,31.2
Fairfield Twp (Cumberland),Cumberland,2023,41.1,44,"5,469",25.10%,43.20%,22.70%,4.40%,0.60%,0.00%,1.10%,2.90%,"$61,506",8.40%,51.1,39,74,"1,826","1,607",88%,78%,22%,,0,15,112,257,220,329,242,322,85,244,"1,499",12,53,0,1,0,0,261,0,44.70%,9.00%,5.40%,36.70%,0.00%,0.80%,0.20%,2.60%,0.60%,69,546,496,496,"1,867",77.10%,13.40%,2.40%,0.10%,1.00%,6.00%,25
Fairfield Twp (Essex),Essex,2023,10.1,302,"7,712",84.60%,1.20%,10.10%,0.00%,2.70%,0.00%,0.00%,1.40%,"$113,750",10.00%,29.8,252,690,"3,054","3,003",98%,79%,21%,,31,63,763,113,191,441,"1,030",272,62,88,"2,327",141,51,0,95,16,424,0,0,78.30%,14.40%,1.70%,3.90%,0.00%,0.00%,0.00%,0.00%,1.70%,178,738,"1,362",725,"3,242",79.60%,3.00%,3.50%,0.00%,1.60%,12.30%,24.2
Fairview Boro,Bergen,2023,0.8,"7,155","14,920",29.00%,1.10%,62.90%,0.30%,4.40%,0.00%,0.10%,2.30%,"$64,152",17.70%,46,53,297,"5,724","5,580",97%,35%,65%,,43,158,149,398,371,749,629,"1,178",836,"1,213","1,195",420,"1,517",917,489,324,862,0,0,69.60%,15.40%,4.90%,5.30%,0.40%,0.00%,0.30%,0.00%,4.10%,"1,192","2,680","1,382",326,"7,736",51.30%,16.60%,16.20%,3.70%,5.30%,7.00%,31
Fanwood Boro,Union,2023,1.3,"2,141","7,714",69.80%,3.70%,11.40%,0.00%,8.30%,0.00%,0.50%,6.40%,"$176,667",1.40%,16.3,534,88,"2,783","2,776",100%,87%,14%,,10,206,142,56,43,159,209,"1,011",209,738,"2,360",124,50,45,0,31,152,21,0,80.00%,8.60%,0.50%,11.00%,0.00%,0.00%,0.00%,0.00%,0.00%,135,601,"1,343",697,"4,152",58.50%,3.80%,11.70%,0.60%,0.80%,24.70%,42.8
Far Hills Boro,Somerset,2023,4.8,91,"1,004",77.50%,1.50%,13.30%,0.00%,4.90%,0.00%,0.00%,2.90%,"$152,188",5.30%,20.9,459,31,435,417,96%,83%,17%,,0,8,47,154,74,9,19,26,7,91,264,107,9,31,1,13,10,0,0,57.60%,5.00%,6.00%,26.40%,0.50%,1.90%,0.00%,0.00%,2.60%,3,147,113,154,568,68.00%,6.50%,2.60%,2.10%,0.00%,20.80%,32.7
Farmingdale Boro,Monmouth,2023,0.5,"1,188","1,399",82.80%,2.30%,11.10%,0.00%,0.00%,0.00%,0.10%,3.70%,"$97,574",2.20%,33.1,190,37,594,582,98%,57%,43%,,3,37,22,8,63,208,34,95,37,87,342,0,44,18,126,59,5,0,0,82.80%,11.00%,0.00%,3.40%,0.00%,0.30%,0.00%,0.00%,2.40%,20,224,184,154,688,82.10%,7.70%,0.90%,1.90%,0.00%,7.40%,27.3
Fieldsboro Boro,Burlington,2023,0.3,937,701,65.30%,6.00%,19.40%,0.10%,0.00%,0.00%,0.00%,9.10%,"$88,125",6.80%,35.5,152,7,281,237,84%,84%,16%,,0,25,11,65,8,13,3,39,20,97,176,81,19,3,0,0,2,0,0,89.50%,5.10%,0.00%,5.10%,0.00%,0.00%,0.00%,0.40%,0.00%,1,59,85,92,376,67.30%,9.80%,0.00%,4.80%,5.10%,13.00%,29.6
Flemington Boro,Hunterdon,2023,1.1,"1,871","4,887",54.80%,5.40%,32.00%,0.00%,5.30%,0.00%,1.80%,0.60%,"$74,213",11.90%,42.1,89,227,"2,058","1,979",96%,34%,66%,,9,24,144,114,110,498,49,386,209,515,681,152,202,334,97,305,287,0,0,76.00%,9.30%,4.70%,9.30%,0.00%,0.00%,0.00%,0.70%,0.00%,70,"1,046",623,240,"2,632",52.70%,15.00%,0.90%,8.10%,1.30%,22.00%,24.7
Florence Twp,Burlington,2023,9.8,511,"12,798",64.20%,7.70%,13.00%,0.10%,8.50%,0.00%,0.20%,6.30%,"$104,792",8.50%,30.3,240,149,"5,007","4,837",97%,82%,18%,,63,216,610,601,418,758,158,545,224,"1,414","2,666","1,559",142,177,252,34,146,18,13,77.40%,13.30%,0.70%,7.00%,0.00%,0.00%,0.20%,0.50%,0.90%,182,"1,663","1,942","1,050","6,560",77.50%,6.40%,1.10%,1.40%,1.20%,12.50%,28.7
Florham Park Boro,Morris,2023,7.3,673,"13,134",66.80%,9.00%,10.20%,0.10%,10.50%,0.00%,0.70%,2.70%,"$147,714",7.80%,20.8,461,223,"4,914","4,587",93%,70%,30%,,276,916,339,350,910,335,700,793,159,136,"2,443",653,70,150,331,469,798,0,0,76.50%,20.30%,1.30%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,190,"1,650","1,799",948,"6,477",57.50%,5.10%,5.30%,4.50%,1.20%,26.40%,26.1
Folsom Boro,Atlantic,2023,8.3,83,"1,732",85.70%,0.60%,10.00%,0.00%,0.10%,0.00%,1.00%,2.50%,"$112,857",6.30%,33.5,181,64,686,662,97%,92%,8%,,0,19,37,35,27,229,118,143,13,65,666,9,11,0,0,0,0,0,0,70.70%,11.60%,1.20%,10.40%,0.00%,2.10%,2.70%,0.80%,0.50%,17,150,306,189,889,82.90%,8.30%,0.90%,0.00%,0.00%,7.90%,34.6
Fort Lee Boro,Bergen,2023,2.5,"7,906","39,818",38.00%,2.40%,12.40%,0.10%,44.00%,0.10%,0.50%,2.50%,"$105,535",8.40%,27.4,306,412,"19,764","18,531",94%,57%,43%,,250,"1,599",799,"1,336","2,639","3,353","4,025","3,290","1,439","1,034","2,698","1,300","1,532",434,757,820,"12,115",97,11,60.60%,30.00%,1.70%,4.40%,0.00%,0.00%,0.00%,1.10%,2.20%,"2,135","11,121","4,515",760,"19,808",47.00%,7.40%,20.70%,3.80%,1.50%,19.60%,34.7
Frankford Twp,Sussex,2023,33.9,75,"5,307",83.30%,1.00%,7.20%,0.00%,1.80%,0.00%,1.20%,5.50%,"$113,642",2.80%,26.5,326,112,"2,559","2,035",80%,90%,10%,,9,92,309,143,494,397,242,286,181,406,"2,414",23,11,33,6,0,11,61,0,6.80%,17.40%,12.20%,50.40%,0.40%,7.10%,1.50%,3.10%,1.00%,25,264,"1,018",728,"2,655",86.50%,2.10%,0.00%,0.30%,0.40%,10.70%,32.5
Franklin Boro,Sussex,2023,4.4,536,"4,938",75.80%,0.80%,19.20%,0.00%,0.20%,0.00%,1.00%,3.10%,"$90,152",8.00%,36,142,144,"2,359","2,252",95%,57%,43%,,23,27,146,133,303,313,186,234,141,853,"1,195",189,88,262,134,240,134,117,0,22.90%,8.80%,9.40%,54.40%,0.00%,2.20%,0.00%,2.20%,0.00%,234,917,639,462,"2,454",81.90%,11.30%,0.60%,1.20%,0.90%,4.00%,35.3
Franklin Lakes Boro,Bergen,2023,9.4,413,"11,011",74.20%,5.10%,7.30%,0.00%,11.70%,0.00%,0.40%,1.30%,"$230,987",3.20%,17,528,69,"3,879","3,771",97%,88%,12%,,98,283,561,360,716,693,672,328,52,116,"3,458",116,14,47,18,6,202,18,0,87.20%,8.90%,0.20%,3.60%,0.00%,0.00%,0.00%,0.00%,0.20%,81,726,"1,567","1,397","4,750",55.80%,4.70%,6.30%,1.20%,2.80%,29.20%,36.5
Franklin Twp (Gloucester),Gloucester,2023,55.8,108,"16,417",74.50%,10.10%,10.30%,0.00%,0.80%,0.00%,0.60%,3.80%,"$104,303",9.00%,37.7,124,289,"6,039","5,668",94%,87%,13%,,13,346,749,527,"1,073","1,318",664,739,332,278,"5,668",39,91,0,0,51,0,190,0,61.30%,7.20%,5.10%,23.50%,0.00%,1.60%,0.60%,0.40%,0.40%,194,"1,048","2,257","2,169","8,068",84.80%,6.70%,0.20%,1.30%,0.30%,6.60%,30.1
Franklin Twp (Hunterdon),Hunterdon,2023,23,54,"3,270",88.30%,0.00%,6.10%,0.00%,0.30%,0.00%,2.50%,2.90%,"$155,766",1.40%,19.5,484,27,"1,231","1,153",94%,89%,11%,,0,34,91,117,232,117,134,198,59,249,"1,182",5,19,18,0,0,0,7,0,5.00%,5.00%,19.70%,57.00%,0.50%,9.90%,1.00%,1.90%,0.00%,32,245,364,512,"1,852",72.90%,5.10%,5.90%,1.80%,0.20%,14.10%,31.4
Franklin Twp (Somerset),Somerset,2023,46.2,581,"68,367",28.70%,25.40%,17.70%,0.10%,24.20%,0.00%,1.30%,2.70%,"$118,034",6.20%,28.6,274,714,"26,858","26,303",98%,68%,32%,,113,"2,402","4,307","3,901","6,403","2,148","3,725","2,225",789,845,"12,326","5,445",972,"1,601","1,643","2,061","2,797",13,0,77.50%,17.40%,1.20%,2.80%,0.00%,0.00%,0.50%,0.10%,0.40%,866,"10,410","10,345","4,682","35,961",63.70%,7.40%,4.90%,0.50%,4.70%,18.80%,33.8
Franklin Twp (Warren),Warren,2023,23.4,51,"2,984",81.50%,1.00%,8.30%,0.00%,5.00%,0.00%,0.40%,3.80%,"$126,250",7.20%,25.3,353,55,"1,187","1,071",90%,90%,10%,,0,26,250,179,132,189,56,39,55,261,"1,005",27,10,12,14,0,0,119,0,41.00%,6.40%,5.10%,43.40%,1.40%,1.80%,0.00%,0.80%,0.00%,39,171,508,353,"1,618",64.80%,11.90%,0.80%,0.20%,2.00%,20.30%,35.5
Fredon Twp,Sussex,2023,17.6,72,"3,264",89.70%,0.50%,2.30%,0.00%,1.30%,0.00%,0.90%,5.30%,"$142,292",5.60%,24.5,380,40,"1,265","1,174",93%,94%,6%,,0,7,218,156,220,267,120,131,8,138,"1,241",15,6,0,0,0,3,0,0,10.40%,4.80%,20.00%,54.70%,0.00%,7.70%,0.00%,2.50%,0.00%,28,156,558,432,"1,578",78.90%,3.00%,2.00%,0.00%,0.60%,15.40%,35.3
Freehold Boro,Monmouth,2023,1.9,"2,335","12,504",35.80%,6.80%,52.20%,0.00%,3.10%,0.00%,0.30%,1.80%,"$82,183",14.30%,45.2,57,269,"4,437","4,270",96%,50%,50%,,0,134,131,144,636,795,518,569,263,"1,247","2,423",365,334,243,187,10,844,13,18,72.70%,16.20%,6.40%,2.90%,0.00%,0.10%,0.00%,0.00%,1.60%,912,"1,135","1,577",646,"6,014",54.50%,16.60%,3.70%,6.00%,7.80%,11.50%,22.6
Freehold Twp,Monmouth,2023,38.7,344,"35,517",75.20%,4.10%,11.40%,0.00%,6.20%,0.00%,0.10%,3.00%,"$125,739",6.00%,25,364,439,"13,297","12,886",97%,83%,17%,,102,266,"1,389","3,027","2,744","2,336","2,176",732,144,381,"8,436","2,051",156,292,"1,147",231,621,363,0,82.50%,11.70%,1.10%,3.50%,0.00%,0.20%,0.50%,0.30%,0.20%,877,"3,411","5,434","3,164","17,668",66.50%,7.70%,3.60%,0.20%,1.60%,20.40%,32.5
Frelinghuysen Twp,Warren,2023,23.6,35,"2,020",88.80%,1.80%,6.80%,0.00%,1.20%,0.00%,0.00%,1.30%,"$122,006",2.30%,24.5,381,23,826,775,94%,94%,6%,,0,19,40,167,190,97,48,63,34,168,811,2,11,0,0,0,0,2,0,1.20%,8.40%,10.70%,64.30%,0.00%,5.70%,0.00%,8.30%,1.50%,20,132,277,346,974,79.00%,2.20%,1.10%,3.10%,1.20%,13.40%,35.4
Frenchtown Boro,Hunterdon,2023,1.1,633,"1,609",77.80%,0.20%,9.60%,0.00%,6.20%,0.00%,1.00%,5.30%,"$107,969",7.30%,26,343,62,696,685,98%,56%,44%,,12,11,18,21,22,77,71,68,29,367,389,54,92,70,22,50,19,0,0,35.90%,30.40%,4.40%,26.40%,0.00%,0.40%,1.90%,0.00%,0.60%,38,263,250,134,844,64.20%,5.70%,4.40%,7.90%,1.10%,16.70%,30.9
Galloway Twp,Atlantic,2023,88.7,162,"37,780",64.70%,8.60%,12.90%,0.10%,7.50%,0.00%,0.70%,5.70%,"$90,622",6.90%,34.7,164,488,"14,402","13,841",96%,80%,20%,,56,357,"3,197","2,157","4,531","1,462","1,072",523,205,842,"10,005","1,436",144,552,"1,062",540,483,138,42,79.70%,9.70%,2.60%,4.30%,0.00%,1.00%,1.50%,0.60%,0.70%,822,"4,205","5,506","3,308","18,283",77.70%,10.60%,1.20%,1.90%,1.00%,7.70%,24.3
Garfield City,Bergen,2023,2.1,"5,826","32,502",44.40%,5.10%,45.40%,0.00%,3.90%,0.00%,0.20%,0.90%,"$75,701",14.20%,45.4,55,495,"12,234","11,541",94%,45%,55%,,0,372,513,633,545,948,"1,673","2,568","1,647","3,335","2,631",889,"5,806","1,335",543,217,781,32,0,79.50%,13.20%,3.10%,3.20%,0.00%,0.00%,0.00%,0.50%,0.50%,"1,148","4,293","4,094","2,006","16,578",68.90%,8.80%,6.80%,4.90%,3.70%,6.80%,27.8
Garwood Boro,Union,2023,0.7,"2,990","4,688",69.50%,0.00%,21.10%,0.00%,3.30%,0.00%,4.00%,2.20%,"$100,948",9.20%,25.2,356,129,"2,093","2,054",98%,55%,45%,,29,69,56,34,108,163,100,686,290,558,937,78,581,203,85,0,209,0,0,83.50%,9.60%,1.80%,3.80%,0.00%,0.00%,1.20%,0.00%,0.00%,258,700,807,289,"2,532",68.70%,4.90%,7.80%,3.60%,0.40%,14.50%,29.6
Gibbsboro Boro,Camden,2023,2.2,389,"2,337",80.60%,4.20%,9.10%,0.00%,3.50%,0.00%,0.00%,2.70%,"$99,881",4.60%,34.2,172,96,855,802,94%,91%,10%,,0,0,16,80,86,78,218,222,66,89,799,1,2,22,0,0,31,0,0,93.60%,3.20%,1.20%,1.50%,0.00%,0.00%,0.00%,0.40%,0.00%,36,163,407,196,950,67.30%,1.90%,6.80%,0.20%,5.50%,18.30%,28.2
Glassboro Boro,Gloucester,2023,9.3,920,"23,375",61.90%,17.40%,10.40%,0.00%,6.50%,0.00%,0.90%,3.00%,"$80,388",16.40%,41.1,98,275,"8,558","7,877",92%,60%,40%,,50,"1,563",592,"1,651","1,044","1,210",630,"1,074",273,471,"4,997",752,311,293,284,754,"1,167",0,0,81.20%,13.90%,1.90%,2.80%,0.00%,0.10%,0.20%,0.00%,0.00%,897,"2,497","3,155","1,328","10,810",70.70%,5.80%,2.50%,5.20%,2.00%,13.80%,28.4
Glen Gardner Boro,Hunterdon,2023,1.5,499,"1,702",76.00%,0.90%,20.60%,0.00%,0.50%,0.00%,0.00%,2.00%,"$98,750",3.50%,29,266,15,748,733,98%,73%,27%,,0,3,0,73,341,41,74,48,7,161,401,100,22,75,31,77,36,6,0,64.10%,14.60%,1.60%,18.70%,0.00%,0.00%,0.00%,1.00%,0.00%,16,292,239,186,942,80.30%,3.00%,2.40%,1.70%,0.00%,12.60%,38.8
Glen Ridge Boro,Essex,2023,1.3,"1,964","7,827",72.00%,3.30%,13.40%,0.00%,5.80%,0.00%,0.30%,5.30%,"$248,016",1.00%,12.8,553,20,"2,553","2,488",97%,93%,7%,,45,0,91,15,76,79,79,83,92,"1,993","2,145",37,27,55,0,12,277,0,0,79.30%,8.00%,2.90%,8.00%,0.00%,0.00%,0.00%,1.80%,0.00%,38,967,"1,306",177,"3,632",35.00%,4.50%,27.80%,1.80%,1.70%,29.10%,38.2
Glen Rock Boro,Bergen,2023,2.7,"1,391","12,082",75.50%,1.30%,4.80%,0.10%,14.30%,0.00%,0.60%,3.40%,"$210,369",1.70%,15.8,539,108,"3,755","3,678",98%,91%,9%,,65,180,221,84,173,64,168,"1,119",363,"1,318","3,375",127,132,6,0,31,74,10,0,89.10%,7.00%,2.10%,1.20%,0.00%,0.00%,0.00%,0.60%,0.00%,91,791,"2,097",699,"5,552",43.50%,6.10%,16.60%,0.60%,0.90%,32.30%,38.4
Gloucester City,Camden,2023,2.3,"1,973","11,465",68.30%,5.90%,19.30%,0.00%,4.70%,0.00%,0.40%,1.30%,"$70,942",13.20%,50.4,42,269,"4,538","4,117",91%,57%,43%,,133,30,293,166,409,211,288,570,361,"2,077","1,946","1,278",369,184,157,112,356,136,0,73.20%,19.90%,1.60%,5.10%,0.00%,0.00%,0.20%,0.00%,0.00%,674,"1,138","1,722",583,"4,924",73.90%,11.10%,0.60%,6.00%,2.20%,6.30%,21.1
Gloucester Twp,Camden,2023,23,"1,147","65,961",64.50%,17.10%,9.20%,0.00%,4.30%,0.00%,0.40%,4.50%,"$97,936",8.00%,33.3,186,623,"26,390","25,001",95%,73%,28%,,102,"1,070","2,690","4,083","4,032","6,848","3,194","2,705",601,"1,065","15,428","4,403",737,580,"1,379","1,600","1,954",309,0,76.90%,16.80%,1.10%,4.30%,0.00%,0.00%,0.40%,0.00%,0.40%,"1,570","7,979","10,219","5,233","33,225",73.40%,7.70%,3.70%,0.30%,1.10%,13.70%,30.2
Green Brook Twp,Somerset,2023,4.4,541,"6,982",55.40%,0.00%,17.40%,0.00%,25.50%,0.00%,0.10%,1.60%,"$218,864",5.70%,20.9,458,183,"2,381","2,272",95%,93%,7%,,0,37,561,541,153,328,234,388,82,57,"1,698",210,20,70,216,83,77,7,0,92.90%,4.40%,0.00%,1.70%,0.00%,0.00%,0.90%,0.00%,0.00%,34,468,989,781,"3,868",64.40%,8.60%,2.90%,0.40%,2.00%,21.70%,31.1
Green Twp,Sussex,2023,16,77,"3,644",83.20%,2.60%,12.10%,0.00%,0.50%,0.00%,1.00%,0.70%,"$137,083",2.80%,20,478,31,"1,237","1,237",100%,98%,3%,,0,0,89,237,316,342,88,52,35,78,"1,237",0,0,0,0,0,0,0,0,4.20%,19.20%,25.20%,39.00%,0.00%,5.30%,1.30%,5.80%,0.00%,15,224,597,401,"1,836",76.10%,10.40%,0.90%,1.70%,0.70%,10.10%,31.4
Greenwich Twp (Cumberland),Cumberland,2023,9,38,736,87.60%,1.80%,8.20%,0.70%,0.50%,0.00%,0.00%,1.20%,"$87,000",7.20%,29.9,248,7,338,310,92%,92%,8%,,0,0,19,36,31,42,21,53,3,133,333,0,5,0,0,0,0,0,0,1.90%,8.40%,14.50%,65.50%,0.60%,8.40%,0.30%,0.30%,0.00%,7,70,127,106,306,80.10%,6.90%,0.30%,0.70%,1.60%,10.50%,28.9
Greenwich Twp (Gloucester),Gloucester,2023,17.8,113,"4,942",78.70%,6.20%,9.80%,0.30%,2.50%,0.00%,0.00%,2.50%,"$90,508",6.60%,34.6,166,82,"2,010","1,970",98%,85%,15%,,0,7,127,98,169,413,298,321,246,331,"1,720",68,58,0,0,0,97,67,0,51.60%,11.50%,2.70%,30.40%,0.00%,0.40%,2.30%,1.10%,0.00%,172,529,764,505,"2,286",82.40%,5.90%,1.30%,0.40%,0.00%,10.00%,28.4
Greenwich Twp (Warren),Warren,2023,10.6,166,"5,481",71.40%,7.00%,8.20%,0.10%,8.90%,0.00%,0.00%,4.40%,"$172,417",2.40%,19.1,495,58,"1,761","1,761",100%,95%,5%,,0,0,414,743,150,162,109,98,0,85,"1,701",26,4,30,0,0,0,0,0,75.00%,5.20%,2.20%,14.10%,0.00%,2.00%,0.00%,1.50%,0.00%,24,235,763,739,"2,922",76.90%,3.80%,0.90%,0.40%,0.00%,18.10%,41.5
Guttenberg Town,Hudson,2023,0.2,"26,430","11,638",18.10%,2.20%,69.00%,0.00%,7.00%,0.00%,1.20%,2.40%,"$77,636",13.80%,43.4,74,204,"5,286","4,953",94%,36%,64%,,12,633,529,311,568,"1,562",532,285,364,490,144,240,"1,115",622,680,618,"1,867",0,0,59.40%,33.60%,3.60%,1.80%,0.00%,0.00%,0.00%,0.30%,1.20%,"1,724","2,094","1,046",89,"6,103",41.50%,6.00%,25.70%,9.10%,3.70%,14.00%,37.8
Hackensack City,Bergen,2023,4.2,"5,096","45,768",27.60%,19.70%,36.00%,0.00%,12.10%,0.00%,0.70%,3.80%,"$82,212",11.30%,40.5,105,"1,252","21,405","20,305",95%,38%,62%,,421,911,845,"1,022","2,692","3,826","3,911","2,712","1,530","3,535","4,870",491,"2,047",722,839,"1,807","10,595",34,0,52.50%,37.90%,3.70%,3.60%,0.00%,0.00%,0.00%,1.00%,1.30%,"2,882","11,152","4,500","1,771","25,403",60.60%,7.10%,13.20%,5.20%,3.30%,10.60%,28.8
Hackettstown Town,Warren,2023,3.6,"1,062","10,143",63.80%,3.70%,25.70%,0.00%,4.70%,0.00%,0.90%,1.20%,"$91,250",7.80%,30.6,231,295,"3,823","3,790",99%,59%,41%,,17,202,444,269,270,477,862,417,119,746,"2,159",319,149,170,275,227,471,53,0,68.90%,12.70%,1.60%,16.00%,0.00%,0.00%,0.00%,0.30%,0.60%,196,"1,189","1,581",824,"5,209",71.60%,10.50%,1.00%,4.50%,2.60%,9.80%,30.9
Haddon Heights Boro,Camden,2023,1.6,"2,053","7,488",90.30%,1.50%,4.30%,0.00%,1.40%,0.00%,0.00%,2.50%,"$126,055",2.40%,23.2,398,178,"3,284","3,121",95%,78%,22%,,14,25,80,28,85,161,192,900,300,"1,499","2,551",137,148,43,33,87,285,0,0,83.70%,8.10%,0.70%,7.00%,0.00%,0.00%,0.00%,0.50%,0.00%,206,949,"1,387",579,"4,010",63.60%,4.80%,4.60%,0.60%,1.70%,24.70%,23.6
Haddon Twp,Camden,2023,2.7,"2,721","15,398",84.20%,3.60%,5.80%,0.00%,2.00%,0.00%,0.00%,4.40%,"$112,255",6.50%,24.7,372,282,"7,348","6,801",93%,66%,34%,,0,380,75,112,248,548,"1,341","1,774",895,"1,975","4,708",146,163,392,102,357,"1,480",0,0,73.50%,17.90%,0.60%,6.50%,0.00%,0.00%,0.10%,0.50%,0.90%,653,"2,620","2,739",789,"7,947",63.90%,4.20%,6.90%,0.90%,0.90%,23.20%,26.5
Haddonfield Boro,Camden,2023,2.8,"1,581","12,502",87.40%,0.80%,5.00%,0.00%,2.00%,0.00%,0.30%,4.50%,"$190,882",2.70%,16.4,533,278,"4,426","4,232",96%,83%,17%,,36,174,156,97,149,233,172,804,349,"2,256","3,525",319,111,114,67,48,231,11,0,81.40%,12.00%,0.90%,4.70%,0.00%,0.00%,0.00%,0.00%,1.00%,163,"1,146","2,176",747,"5,782",58.70%,4.20%,7.90%,1.70%,0.60%,26.90%,28.9
Hainesport Twp,Burlington,2023,6.5,400,"6,028",69.50%,5.60%,11.20%,0.00%,6.60%,0.00%,6.00%,1.20%,"$137,610",1.90%,22.3,413,142,"2,601","2,507",96%,91%,9%,,79,20,"1,123",284,123,318,87,215,62,290,"2,371",148,37,0,0,24,0,21,0,64.30%,19.70%,3.70%,11.80%,0.00%,0.00%,0.50%,0.00%,0.00%,248,332,"1,178",749,"3,090",76.10%,1.10%,1.10%,5.20%,0.60%,15.90%,28.3
Haledon Boro,Passaic,2023,1.2,"2,765","8,936",25.40%,11.10%,55.20%,0.60%,3.40%,0.00%,0.00%,4.40%,"$94,178",9.30%,43,80,163,"3,318","3,252",98%,48%,52%,,0,127,115,93,346,633,401,371,221,"1,011","1,202",138,"1,214",351,37,94,282,0,0,80.10%,11.70%,5.70%,1.40%,0.00%,0.30%,0.30%,0.00%,0.40%,290,"1,287","1,062",613,"4,601",74.10%,10.20%,5.00%,0.00%,3.40%,7.30%,24.9
Hamburg Boro,Sussex,2023,1.1,"1,432","3,293",63.90%,4.50%,25.50%,0.00%,4.00%,0.00%,0.00%,2.10%,"$90,655",7.60%,28.8,268,74,"1,575","1,575",100%,76%,24%,,36,23,283,169,415,168,91,108,17,265,621,411,204,83,156,100,0,0,0,55.70%,20.70%,0.00%,18.20%,0.00%,4.60%,0.00%,0.80%,0.00%,23,771,476,305,"1,939",71.80%,9.30%,0.00%,0.00%,5.90%,12.90%,33.5
